ID,Orijinal,Öneri,Tür,Güven,Mükerrer
rec0kGI7w5Q6VhCdg,"SUBSEA 7 DEEP SEA LIMITED MERK EZİ BİRLEŞİK KRALLIK İSTANBUL MERKEZ ŞUB","SUBSEA 7 DEEP SEA LIMITED MERKEZİ BİRLEŞİK KRALLIK İSTANBUL MERKEZ ŞUB",bölünmüş-kelime,yüksek,"-"
rec18o8gYsNFsQUIV,"FERMA MAKİNA METAL ELEKTRİK ELEKTRONİK SAN.VE Tİ","",kesik-sonek,orta,"Telefon - yüksek şüphe"
rec2v34JAvY77MHGC,"AREVA T AND","AREVA TAND",tek-harf-prefix,orta,"-"
rec3eBBX7h3K9Lj7c,"İNTER POİNT İSTİF MAKİNALARI S ANAYİ VE TİCARET LİM","İNTER POİNT İSTİF MAKİNALARI SANAYİ VE TİCARET LİM",tek-harf-prefix,yüksek,"-"
rec4LZBoQtM1EM8Vf,"KÖRFEZ ETA MÜHENDİSLİK ELEK.MA K.İNŞ.TAAH.SAN.VE Tİ","",kesik-sonek,orta,"-"
rec4fwisp0z93tvtX,"KELEŞ TAHMİL TAHLİYE TAAHHÜT S ANAYİ VE TİCARET LİM","KELEŞ TAHMİL TAHLİYE TAAHHÜT SANAYİ VE TİCARET LİM",tek-harf-prefix,yüksek,"-"
rec639VV52AkpXodc,"DÜNYA MEŞRUBAT GIDA. İNŞAAT TURİZM PAZAR. SAN. VE","",kesik-sonek,orta,"-"
rec66sr6EVzNem5fg,"PAREXEL INTERNATIONAL TURKEY T IBBİ DANIŞMANLIK SAN","PAREXEL INTERNATIONAL TURKEY TIBBİ DANIŞMANLIK SAN",tek-harf-prefix,orta,"-"
rec6Jl35coRY4cAld,"ÜÇ ASLAR İŞ MAKİNALARI VE OTOM .YED.PAR.SAN VE Tİ","",kesik-sonek,orta,"-"
rec7QSQbf27qmuhse,"POLYTEKNO KİMYA VE TEKNOLOJİ S ANAYİ VE TİCARET L","POLYTEKNO KİMYA VE TEKNOLOJİ SANAYİ VE TİCARET L",tek-harf-prefix,yüksek,"-"
rec8JGnKgPoSmNdxL,"FİMAKS FİKSTÜR MAKİNA SANAYİ L İMİTED ŞİRKETİ","FİMAKS FİKSTÜR MAKİNA SANAYİ LİMİTED ŞİRKETİ",tek-harf-prefix,orta,"-"
