Tarih,Kayıt ID,Eski Ad,Yeni Ad
2026-05-26T14:48:20.564Z,rec0kGI7w5Q6VhCdg,"SUBSEA 7 DEEP SEA LIMITED MERK EZİ BİRLEŞİK KRALLIK İSTANBUL MERKEZ ŞUB","SUBSEA 7 DEEP SEA LIMITED MERKEZİ BİRLEŞİK KRALLIK İSTANBUL MERKEZ ŞUB"
2026-05-26T14:48:20.564Z,rec3eBBX7h3K9Lj7c,"İNTER POİNT İSTİF MAKİNALARI S ANAYİ VE TİCARET LİM","İNTER POİNT İSTİF MAKİNALARI SANAYİ VE TİCARET LİM"
2026-05-26T14:48:20.564Z,rec4fwisp0z93tvtX,"KELEŞ TAHMİL TAHLİYE TAAHHÜT S ANAYİ VE TİCARET LİM","KELEŞ TAHMİL TAHLİYE TAAHHÜT SANAYİ VE TİCARET LİM"
2026-05-26T14:48:20.564Z,rec7QSQbf27qmuhse,"POLYTEKNO KİMYA VE TEKNOLOJİ S ANAYİ VE TİCARET L","POLYTEKNO KİMYA VE TEKNOLOJİ SANAYİ VE TİCARET L"
2026-05-26T14:48:20.564Z,recEgglG7s45vSjWw,"MRM ÇATI VE OLUK SİSTEMLERİ SA NAYİ VE TİCARET LİMİ","MRM ÇATI VE OLUK SİSTEMLERİ SANAYİ VE TİCARET LİMİ"
2026-05-26T14:48:20.564Z,recHuIKYDlCJKCe1l,"LOGİTECH TURKEY BİLGİSAYAR PAZ ARLAMA HİZMETLERİ Lİ","LOGİTECH TURKEY BİLGİSAYAR PAZARLAMA HİZMETLERİ Lİ"
2026-05-26T14:48:20.564Z,recVF7Ir2jIlQ59rg,"PARKTURK OTOPARK YATIRIMLARI A NONİM ŞİRKETİ","PARKTURK OTOPARK YATIRIMLARI ANONİM ŞİRKETİ"
2026-05-26T14:48:20.564Z,recgU7iPZSVQUhfJu,"FG WİLSON ENERJİ ÇÖZÜMLERİ SAN AYİ VE TİCARET ANO","FG WİLSON ENERJİ ÇÖZÜMLERİ SANAYİ VE TİCARET ANO"
2026-05-26T14:48:20.564Z,recl5fUeMXYumUI9i,"TANSEL ENERJİ SİSTEMLERİ SANAY İ VE TİCARET LİMİT","TANSEL ENERJİ SİSTEMLERİ SANAYİ VE TİCARET LİMİT"
2026-05-26T14:48:20.564Z,recyvQxEy7IurviOc,"PORTACE LİMAN EKİPMANLARI SANA Yİ TİCARET LİMİTED Ş","PORTACE LİMAN EKİPMANLARI SANAYİ TİCARET LİMİTED Ş"
